Portfolio,Expected_Return,Volatility,Sharpe_Ratio,Weight_AAPL,Weight_MSFT,Weight_GOOGL,Weight_AMZN,Weight_TSLA,Weight_JPM,Weight_V,Weight_JNJ,Weight_WMT,Weight_PG
1,0.2026417808674836,0.07017550423009883,2.6026429431645908,0.07418620774685311,0.10665789404715624,0.04987914349156777,0.04724771644868466,0.029352706020525598,0.12141107021336166,0.04165985812612406,0.20639015508467196,0.13406526238187633,0.18914998643917866
2,0.258212611468209,0.07155239671659396,3.32920520345008,0.0709239800302442,0.11405847520124551,0.028675684779806494,0.07612259981855607,0.040900760817016435,0.14399450383586554,0.05409359121341753,0.17784999684619257,0.11443639590808004,0.17894401154957548
3,0.31378344206780473,0.07528512308496847,3.9022775022395084,0.06771341373202769,0.12148813138813096,0.008305293676170004,0.10492993308575137,0.05295450422770553,0.16620076378125268,0.06674790112935985,0.14852217855115676,0.09518773224100796,0.16795014818743728
4,0.3693542726775407,0.0811663568846154,4.304175844360937,0.06620959983950683,0.1281524136814906,0.0,0.1392953865031656,0.0643641588836335,0.18731033948222375,0.08146032356165196,0.11391267716956407,0.0672743246054292,0.15202077627333455
5,0.42492510326607263,0.08911621539187943,4.543787025576164,0.06357273926531912,0.1345131161683526,2.168404344971009e-19,0.1734381764813009,0.07937406702991422,0.20807997391385627,0.09591337059537927,0.07620510670192579,0.03668354796860859,0.1322199018753433
6,0.48049593387105227,0.0986519176324719,4.667886290732144,0.06019741216905471,0.1407938766984446,3.686287386450715e-18,0.20903886128797025,0.09261096626080652,0.23029770448762252,0.10963232119961792,0.038869382234400666,0.0038859002670647985,0.11467357539501805
7,0.5360667644836967,0.10957049195511177,4.709906428960053,0.045144844688780335,0.14250855702892534,4.692562527788824e-18,0.25237908747133964,0.10750521180548954,0.2474951388915558,0.12082895445570704,0.0,0.0,0.08413820565820236
8,0.5916375950634886,0.12229336592028084,4.67431402154816,0.02021906644350668,0.1351844458105156,0.0,0.29720993337086,0.12903784833254495,0.2685958087146839,0.11921627858203743,3.119622344737588e-18,0.0,0.03053661874585149
9,0.6472084256344899,0.13889411878833707,4.515730623485236,4.13374640479684e-18,0.09737547225877342,2.8996564917006414e-18,0.3,0.18602633878441574,0.2925194332427251,0.12407875571408582,0.0,0.0,0.0
10,0.7027792561687469,0.1640110809582242,4.163006866241311,3.4074159361022095e-17,0.029307817243917383,0.0,0.3,0.25994919155914425,0.29958993798036015,0.11115305321657812,0.0,0.0,6.392083525925786e-17
11,0.5355316183382971,0.10945303885750285,4.710071312039759,0.04744516581126396,0.14151448857647644,0.0,0.25102366351771427,0.10806290421273519,0.2492121614860466,0.11947354274255056,0.0,1.6311228761981336e-16,0.08326807365321481
12,0.5355316183382971,0.10945303885750285,4.710071312039759,0.04744516581126396,0.14151448857647644,0.0,0.25102366351771427,0.10806290421273519,0.2492121614860466,0.11947354274255056,0.0,1.6311228761981336e-16,0.08326807365321481
13,0.5355316183382971,0.10945303885750285,4.710071312039759,0.04744516581126396,0.14151448857647644,0.0,0.25102366351771427,0.10806290421273519,0.2492121614860466,0.11947354274255056,0.0,1.6311228761981336e-16,0.08326807365321481
14,0.5355316183382971,0.10945303885750285,4.710071312039759,0.04744516581126396,0.14151448857647644,0.0,0.25102366351771427,0.10806290421273519,0.2492121614860466,0.11947354274255056,0.0,1.6311228761981336e-16,0.08326807365321481
15,0.5355316183382971,0.10945303885750285,4.710071312039759,0.04744516581126396,0.14151448857647644,0.0,0.25102366351771427,0.10806290421273519,0.2492121614860466,0.11947354274255056,0.0,1.6311228761981336e-16,0.08326807365321481
16,0.5355316183382971,0.10945303885750285,4.710071312039759,0.04744516581126396,0.14151448857647644,0.0,0.25102366351771427,0.10806290421273519,0.2492121614860466,0.11947354274255056,0.0,1.6311228761981336e-16,0.08326807365321481
17,0.5355316183382971,0.10945303885750285,4.710071312039759,0.04744516581126396,0.14151448857647644,0.0,0.25102366351771427,0.10806290421273519,0.2492121614860466,0.11947354274255056,0.0,1.6311228761981336e-16,0.08326807365321481
18,0.5355316183382971,0.10945303885750285,4.710071312039759,0.04744516581126396,0.14151448857647644,0.0,0.25102366351771427,0.10806290421273519,0.2492121614860466,0.11947354274255056,0.0,1.6311228761981336e-16,0.08326807365321481
19,0.5355316183382971,0.10945303885750285,4.710071312039759,0.04744516581126396,0.14151448857647644,0.0,0.25102366351771427,0.10806290421273519,0.2492121614860466,0.11947354274255056,0.0,1.6311228761981336e-16,0.08326807365321481
20,0.5355316183382971,0.10945303885750285,4.710071312039759,0.04744516581126396,0.14151448857647644,0.0,0.25102366351771427,0.10806290421273519,0.2492121614860466,0.11947354274255056,0.0,1.6311228761981336e-16,0.08326807365321481
